id,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,
1,-1.338686668,36.66734752,1,0,0,0,0,0,0,0,0,0,0,0,
2,-1.29514269,36.7983148,1,0,0,0,0,0,0,0,0,0,0,0,
3,-1.293913356,36.86165015,1,0,0,0,0,0,0,0,0,0,0,0,
4,-1.220313017,36.89471615,1,0,0,0,0,0,0,0,0,0,0,0,
5,-1.304512823,36.82947038,1,0,0,0,0,0,0,0,0,0,0,0,
6,-1.280184767,36.83450385,1,0,0,0,0,0,0,0,0,0,0,0,
7,-1.224143766,36.91455249,1,0,0,0,0,0,0,0,0,0,0,0,
8,-1.283941098,36.91142321,1,0,0,0,0,0,0,0,0,0,0,0,
9,-1.301634809,36.86137715,1,0,0,0,0,0,0,0,0,0,0,0,
10,-1.303832528,36.8663883,1,0,0,0,0,0,0,0,0,0,0,0,
11,-1.287182268,36.74517664,1,0,0,0,0,0,0,0,0,0,0,0,
12,-1.280372473,36.82707575,1,0,0,0,0,0,0,0,0,0,0,0,
13,-1.28648269,36.83031234,1,0,0,0,0,0,0,0,0,0,0,0,
14,-1.302326425,36.81471631,1,0,0,0,0,0,0,0,0,0,0,0,
15,-1.318909773,36.86988118,1,0,0,0,0,0,0,0,0,0,0,0,
16,-1.248630021,36.94672841,1,0,0,0,0,0,0,0,0,0,0,0,
17,-1.235714588,36.93890301,1,0,0,0,0,0,0,0,0,0,0,0,
18,-1.261340736,36.73522518,1,0,0,0,0,0,0,0,0,0,0,0,
19,-1.265492187,36.85356571,1,0,0,0,0,0,0,0,0,0,0,0,
20,-1.289708049,36.73922055,1,0,0,0,0,0,0,0,0,0,0,0,
21,-1.244786725,36.84473187,1,0,0,0,0,0,0,0,0,0,0,0,
22,-1.295527432,36.83294965,1,0,0,0,0,0,0,0,0,0,0,0,
23,-1.307245745,36.87568117,1,0,0,0,0,0,0,0,0,0,0,0,
24,-1.254832462,36.75163896,1,0,0,0,0,0,0,0,0,0,0,0,
25,-1.282223169,36.82724631,1,0,0,0,0,0,0,0,0,0,0,0,
26,-1.298398777,36.76950264,1,0,0,0,0,0,0,0,0,0,0,0,
27,-1.270564254,36.74708131,1,0,0,0,0,0,0,0,0,0,0,0,
28,-1.28089635,36.84951611,1,0,0,0,0,0,0,0,0,0,0,0,
29,-1.275476025,36.79433349,1,0,0,0,0,0,0,0,0,0,0,0,
30,-1.274580735,36.79834877,1,0,0,0,0,0,0,0,0,0,0,0,
31,-1.285892575,36.85406511,1,0,0,0,0,0,0,0,0,0,0,0,
32,-1.261894248,36.85057102,1,0,0,0,0,0,0,0,0,0,0,0,
33,-1.287849732,36.87316305,1,0,0,0,0,0,0,0,0,0,0,0,
34,-1.293267938,36.86770227,1,0,0,0,0,0,0,0,0,0,0,0,
35,-1.332085162,36.87078086,1,0,0,0,0,0,0,0,0,0,0,0,
36,-1.221369162,36.85749837,1,0,0,0,0,0,0,0,0,0,0,0,
37,-1.286419445,36.74705597,1,0,0,0,0,0,0,0,0,0,0,0,
38,-1.298587643,36.80245671,1,0,0,0,0,0,0,0,0,0,0,0,
39,-1.295224969,36.80091824,1,0,0,0,0,0,0,0,0,0,0,0,
40,-1.317186985,36.86651382,1,0,0,0,0,0,0,0,0,0,0,0,
41,-1.277369819,36.8260016,1,0,0,0,0,0,0,0,0,0,0,0,
42,-1.279780058,36.81172316,1,0,0,0,0,0,0,0,0,0,0,0,
43,-1.315022001,36.84221549,1,0,0,0,0,0,0,0,0,0,0,0,
44,-1.312388066,36.79030111,1,0,0,0,0,0,0,0,0,0,0,0,
45,-1.307843065,36.89486951,1,0,0,0,0,0,0,0,0,0,0,0,
46,-1.365780112,36.91117646,1,0,0,0,0,0,0,0,0,0,0,0,
47,-1.222398964,36.91134157,1,0,0,0,0,0,0,0,0,0,0,0,
48,-1.321416064,36.82374368,1,0,0,0,0,0,0,0,0,0,0,0,
49,-1.331645421,36.89205685,1,0,0,0,0,0,0,0,0,0,0,0,
50,-1.267334753,36.75462674,1,0,0,0,0,0,0,0,0,0,0,0,
51,-1.221154164,36.92074297,1,0,0,0,0,0,0,0,0,0,0,0,
52,-1.269336141,36.84146747,1,0,0,0,0,0,0,0,0,0,0,0,
53,-1.217698154,36.81577261,1,0,0,0,0,0,0,0,0,0,0,0,
54,-1.30964101,36.78787242,1,0,0,0,0,0,0,0,0,0,0,0,
55,-1.255317287,36.75245455,1,0,0,0,0,0,0,0,0,0,0,0,
56,-1.251107532,36.82344112,1,0,0,0,0,0,0,0,0,0,0,0,
57,-1.281888759,36.97218156,1,0,0,0,0,0,0,0,0,0,0,0,
58,-1.28716602,36.97346902,1,0,0,0,0,0,0,0,0,0,0,0,
59,-1.28169849,36.75260965,1,0,0,0,0,0,0,0,0,0,0,0,
60,-1.296069797,36.8136669,1,0,0,0,0,0,0,0,0,0,0,0,
61,-1.225979448,36.86332274,1,0,0,0,0,0,0,0,0,0,0,0,
62,-1.336982292,36.70809554,1,0,0,0,0,0,0,0,0,0,0,0,
63,-1.331065259,36.78259198,1,0,0,0,0,0,0,0,0,0,0,0,
64,-1.309583694,36.85907066,1,0,0,0,0,0,0,0,0,0,0,0,
65,-1.260889352,36.79054443,1,0,0,0,0,0,0,0,0,0,0,0,
66,-1.285262726,36.83889288,1,0,0,0,0,0,0,0,0,0,0,0,
67,-1.27920683,36.82599926,1,0,0,0,0,0,0,0,0,0,0,0,
68,-1.220247603,36.76754635,1,0,0,0,0,0,0,0,0,0,0,0,
69,-1.27026392,36.74420598,1,0,0,0,0,0,0,0,0,0,0,0,
70,-1.309780104,36.87976729,1,0,0,0,0,0,0,0,0,0,0,0,
71,-1.286063243,36.84252917,1,0,0,0,0,0,0,0,0,0,0,0,
72,-1.309114933,36.8815448,1,0,0,0,0,0,0,0,0,0,0,0,
73,-1.274488879,36.88944602,1,0,0,0,0,0,0,0,0,0,0,0,
74,-1.303707396,36.73721214,1,0,0,0,0,0,0,0,0,0,0,0,
75,-1.279401447,36.81820704,1,0,0,0,0,0,0,0,0,0,0,0,
76,-1.317992779,36.81632438,1,0,0,0,0,0,0,0,0,0,0,0,
77,-1.279401447,36.81820704,1,0,0,0,0,0,0,0,0,0,0,0,
78,-1.285783179,36.842886,1,0,0,0,0,0,0,0,0,0,0,0,
79,-1.33120655,36.85732956,1,0,0,0,0,0,0,0,0,0,0,0,
80,-1.251376491,36.75550554,1,0,0,0,0,0,0,0,0,0,0,0,
81,-1.29362457,36.78786254,1,0,0,0,0,0,0,0,0,0,0,0,
82,-1.330916771,36.6872207,0,1,0,0,0,0,0,0,0,0,0,0,
83,-1.290652333,36.84485191,0,1,0,0,0,0,0,0,0,0,0,0,
